folder,id,form,original_form,speaker_id,start,end,note
SDRW2000000007,SDRW2000000007.1.1.116,그 카페 리듬이라고 있거든?,그 카페 리듬이라고 있거든?,SD2000013,307.32606,309.58801,
SDRW2000000007,SDRW2000000007.1.1.119,건물로 해서 리모델링한 까 카페야.,건물로 해서 리모델링한 까 카페야.,SD2000013,315.04802,317.69902,
SDRW2000000007,SDRW2000000007.1.1.123,리모델링한 곳이라며,리모델링한 곳이라며,SD2000012,323.15508,324.86207,
SDRW2000000009,SDRW2000000009.1.1.104,조금 많이 보고 리플도 많이 보고,쫌 많이 보고 리플도 많이 보고,SD2000017,185.30808,187.23504,
SDRW2000000014,SDRW2000000014.1.1.207,리그 같은 것도,리그 같은 것도,SD2000025,351.49107,352.36108,
SDRW2000000014,SDRW2000000014.1.1.338,류현진 선수 때문에 엘에이 다저스를,류현진 선수 때문에 엘에이 다저스를,SD2000025,558.91204,561.26205,
SDRW2000000024,SDRW2000000024.1.1.391,고거를 인제 리모델링 해서 살고 싶어요.,고거를 인제 리모델링 해서 살고 싶어요.,SD2000039,894.37906,897.47606,
SDRW2000000028,SDRW2000000028.1.1.85,려고 하면은,려고 하면은,SD2000043,156.38704,157.43101,
SDRW2000000034,SDRW2000000034.1.1.276,리트리버,리트리버,SD2000051,509.57405,510.61502,
SDRW2000000034,SDRW2000000034.1.1.301,리트리버랑 그~ 친구들이,리트리버랑 그~ 친구들이,SD2000050,551.63902,553.96604,
SDRW2000000036,SDRW2000000036.1.1.5,초등학교 때 리틀 야구단 들어가면서,초등학교 때 리틀 ((야구단)) 들어가면서,SD2000055,13.06805,16.91104,
SDRW2000000036,SDRW2000000036.1.1.205,거기에 대해서 리스크가 큰 거 같습니다.,거기에 대해서 리스크가 큰 거 같습니다.,SD2000055,777.88203,781.19403,
SDRW2000000041,SDRW2000000041.1.1.143,혼자 리허설을 또 해 보고,혼자 리허설을 또 해 보고 {laughing},SD2000063,271.35001,273.20102,
SDRW2000000042,SDRW2000000042.1.1.101,리스트 말해보라고 하면은,리스트 말해보라고 하면은,SD2000064,200.44202,202.22805,
SDRW2000000048,SDRW2000000048.1.1.55,리그가 중단돼서,리그가 중단돼서,SD2000070,125.14902,126.67506,
SDRW2000000048,SDRW2000000048.1.1.59,어~ 리그 유럽,어~ 리그 유럽,SD2000070,133.44701,135.42104,
SDRW2000000048,SDRW2000000048.1.1.69,리그에서는 좋은 성적을 내고 있어가지고,리그에서는 좋은 성적을 내고 있어가지고,SD2000071,155.90703,159.05701,
SDRW2000000048,SDRW2000000048.1.1.75,바르셀로나는 리그에서는 성적이 좋은데,바르셀로나는 리그에서는 성적이 좋은데,SD2000070,168.77408,172.61105,
SDRW2000000048,SDRW2000000048.1.1.111,리그에서는 조금,리그에서는 조금,SD2000071,261.38906,263.87401,
SDRW2000000048,SDRW2000000048.1.1.170,어~ 만약에 리그가 재개된다면은,어~ 만약에 리그가 재개된다면은,SD2000070,411.42804,414.26504,
SDRW2000000048,SDRW2000000048.1.1.220,리그가 중단되기 전에 이번 시즌은,리그가 중단되기 전에 이번 시즌은,SD2000070,539.46102,542.45103,
SDRW2000000048,SDRW2000000048.1.1.228,어~ 리그 중단되기 전에는,어~ 리그 중단되기 전에는,SD2000070,557.57205,560.23403,
SDRW2000000048,SDRW2000000048.1.1.237,만약에 리그가 진행되면은,만약에 리그가 진행되면은,SD2000071,580.89405,583.58605,
SDRW2000000048,SDRW2000000048.1.1.248,리그에서,리그에서,SD2000071,600.64405,604.02708,
SDRW2000000048,SDRW2000000048.1.1.254,아~ 리버풀이 가장 강력한 팀이고,아~ 리버풀이 가장 강력한 팀이고,SD2000070,620.25305,623.93103,
SDRW2000000048,SDRW2000000048.1.1.263,리버풀이랑 맨시티와의,리버풀이랑 맨시티와의,SD2000070,640.64802,644.18704,
SDRW2000000048,SDRW2000000048.1.1.345,리그가 시작된 지 조금 됐는데,리그가 시작된 지 쫌 됐는데,SD2000070,832.40107,834.72704,
SDRW2000000049,SDRW2000000049.1.1.127,서 쉰들러 리스트란 영화를 보고,서 쉰들러 리스트란 영화를 보고,SD2000071,270.27808,273.02508,
SDRW2000000051,SDRW2000000051.1.1.146,그런 류를 조금 봤었고,그런 류를 쫌 봤었고,SD2000074,335.19903,337.36504,
SDRW2000000052,SDRW2000000052.1.1.136,쿨의 노래를 많이 리메이클 했더라고요. 그래서,쿨의 노래를 많이 리메이클 했더라고요. 그래서,SD2000075,277.73103,280.28204,
SDRW2000000057,SDRW2000000057.1.1.309,내가 만약에 리더여도,내가 만약에 리더여도,SD2000082,639.11204,640.66801,
